Zone_Name,Zone_Description,Table_Name
Main Hall,Main dining area,T01
Main Hall,Main dining area,T02
Main Hall,Main dining area,T03
Main Hall,Main dining area,T04
Main Hall,Main dining area,T05
Main Hall,Main dining area,T06
Main Hall,Main dining area,T07
Main Hall,Main dining area,T08
Terrace,Outdoor dining area,T09
Terrace,Outdoor dining area,T10
Terrace,Outdoor dining area,T11
Terrace,Outdoor dining area,T12
Terrace,Outdoor dining area,T13
Private Room,Private dining area,P01
Private Room,Private dining area,P02
Private Room,Private dining area,P03
Private Room,Private dining area,P04
Bar,Bar seating area,B01
Bar,Bar seating area,B02
Bar,Bar seating area,B03
