code,scope,discountPercent,description,isActive,usageLimit
DR10001,DRINK,10,10 percent off drinks,true,1
DR25002,DRINK,25,25 percent off drinks,true,1
DR50003,DRINK,50,50 percent off drinks,true,1
DR10004,DRINK,10,10 percent off drinks,true,1
DR25005,DRINK,25,25 percent off drinks,true,1
DR50006,DRINK,50,50 percent off drinks,true,1
DR10007,DRINK,10,10 percent off drinks,true,1
DR25008,DRINK,25,25 percent off drinks,true,1
DR50009,DRINK,50,50 percent off drinks,true,1
DR10010,DRINK,10,10 percent off drinks,true,1
DR25011,DRINK,25,25 percent off drinks,true,1
DR50012,DRINK,50,50 percent off drinks,true,1
DR10013,DRINK,10,10 percent off drinks,true,1
DR25014,DRINK,25,25 percent off drinks,true,1
DR50015,DRINK,50,50 percent off drinks,true,1
FD10016,FOOD,10,10 percent off food,true,1
FD25017,FOOD,25,25 percent off food,true,1
FD50018,FOOD,50,50 percent off food,true,1
FD10019,FOOD,10,10 percent off food,true,1
FD25020,FOOD,25,25 percent off food,true,1
FD50021,FOOD,50,50 percent off food,true,1
FD10022,FOOD,10,10 percent off food,true,1
FD25023,FOOD,25,25 percent off food,true,1
FD50024,FOOD,50,50 percent off food,true,1
FD10025,FOOD,10,10 percent off food,true,1
FD25026,FOOD,25,25 percent off food,true,1
FD50027,FOOD,50,50 percent off food,true,1
FD10028,FOOD,10,10 percent off food,true,1
FD25029,FOOD,25,25 percent off food,true,1
FD50030,FOOD,50,50 percent off food,true,1
