Menu_Type,Item_No,Full_Name,Internal_Name,Price_VND,Category,Description
Food,1,Burrata & Tomato Salad,S-Bur Tom,160000,Salad,Organic tomatoes with whole house-made burrata.
Food,2,Parma Ham & Arugula Salad,S-Par Arg,180000,Salad,"Peppery arugula, aged parma ham, parmesan."
Food,3,Salmon Carpaccio Salad,S-Sal Carp,195000,Salad,Thinly sliced salmon on mixed greens.
Food,4,Seasonal Fruit Burrata Salad,S-Fru Bur,180000,Salad,Tropical seasonal fruits with creamy burrata.
Food,5,Classic Caesar Salad,S-Caesar,140000,Salad,"Romaine, bacon, croutons, parmesan dressing."
Food,6,Grilled Chicken Caesar,S-Chk Cae,160000,Salad,Classic Caesar topped with grilled chicken.
Food,7,Avocado & Shrimp Salad,S-Avo Shr,175000,Salad,"Fresh avocado, poached shrimp, citrus dressing."
Food,8,Quinoa & Roasted Veg Salad,S-Qui Veg,150000,Salad,Healthy quinoa mixed with oven-roasted veggies.
Food,9,Mozzarella Caprese,S-Caprese,160000,Salad,"Sliced mozzarella, tomatoes, basil, balsamic."
Food,10,Mixed Green Garden Salad,S-Mix Grn,120000,Salad,Simple organic house greens with vinaigrette.
Food,11,Tuna & Egg Niçoise,S-Tuna Nic,165000,Salad,"Seared tuna, boiled egg, olives, greens."
Food,12,Mushroom & Spinach Salad,S-Mush Spi,145000,Salad,Warm sautéed mushrooms on baby spinach.
Food,13,Duck Breast & Orange Salad,S-Duc Org,190000,Salad,Smoked duck slices with fresh orange segments.
Food,14,Kale & Pomegranate Salad,S-Kale Pom,155000,Salad,Superfood kale with pomegranate seeds.
Food,15,Seafood Ceviche Salad,S-Sea Cev,210000,Salad,Marinated mixed seafood with lime and chili.
Food,16,House-made Cheese Plate (3),ST-Chz 3,150000,Starter,Selection of 3 house-made artisan cheeses.
Food,17,House-made Cheese Plate (5),ST-Chz 5,220000,Starter,Selection of 5 house-made artisan cheeses.
Food,18,Parma Ham Platter,ST-Parma,180000,Starter,Premium aged Italian prosciutto.
Food,19,Cold Cuts & Cheese Board,ST-CC Chz,290000,Starter,Mixed cured meats and signature cheeses.
Food,20,Garlic Bread,ST-Gar Brd,60000,Starter,Wood-fired bread with garlic butter.
Food,21,Cheese Fondue with Bread,ST-Fon Brd,190000,Starter,Melted cheese blend served with crusty bread.
Food,22,Oven-baked Garlic Clams,ST-Bak Clm,140000,Starter,Clams baked in garlic butter and herbs.
Food,23,Fried Calamari,ST-Fri Cal,150000,Starter,Crispy squid rings with tartar sauce.
Food,24,Beef Carpaccio,ST-Bef Car,195000,Starter,Raw beef slices with truffle oil and parmesan.
Food,25,Salmon Tartare,ST-Sal Tar,180000,Starter,Diced fresh salmon with avocado and soy.
Food,26,Arancini (Cheese Rice Balls),ST-Aran,110000,Starter,Deep-fried risotto balls stuffed with cheese.
Food,27,Truffle French Fries,ST-Tru Fry,95000,Starter,Crispy fries tossed in truffle oil and parmesan.
Food,28,Sweet Potato Fries,ST-Swt Fry,85000,Starter,Fried sweet potatoes with chili mayo.
Food,29,Grilled Vegetables Plate,ST-Gri Veg,120000,Starter,Assorted wood-fired seasonal vegetables.
Food,30,Bruschetta Pomodoro,ST-Bru Pom,90000,Starter,Toasted bread topped with tomato and basil.
Food,31,Bruschetta Parma & Ricotta,ST-Bru Par,120000,Starter,Toasted bread with ricotta and parma ham.
Food,32,Oven-baked Camembert,ST-Bak Cam,170000,Starter,Whole camembert baked until gooey.
Food,33,Spicy Garlic Shrimp (Gambas),ST-Shr Gam,180000,Starter,"Shrimp sautéed in olive oil, garlic, and chili."
Food,34,Chicken Liver Pâté,ST-Chk Pat,130000,Starter,Smooth pâté served with toasted baguette.
Food,35,Mushroom Soup,SO-Msh Sup,85000,Soup,Creamy blended mushroom soup.
Food,36,Minestrone Soup,SO-Min Sup,80000,Soup,Classic Italian vegetable and tomato soup.
Food,37,Clam Chowder,SO-Clm Sup,95000,Soup,"Rich, creamy soup with clams and potatoes."
Food,38,Pumpkin Soup,SO-Pmp Sup,75000,Soup,Sweet and savory roasted pumpkin soup.
Food,39,Tomato Basil Soup,SO-Tom Sup,75000,Soup,Tangy tomato soup finished with basil oil.
Food,40,Onion Gratin Soup,SO-Oni Sup,110000,Soup,French onion soup with melted cheese crust.
Food,41,Wood-Fired Ribeye Steak,M-Ribeye,550000,Main Course,"250g Australian ribeye, wood-fire grilled."
Food,42,Grilled Salmon Fillet,M-Sal Fil,320000,Main Course,Pan-seared salmon with lemon butter sauce.
Food,43,Duck Confit,M-Duc Con,290000,Main Course,Slow-cooked duck leg with mashed potatoes.
Food,44,Roasted Half Chicken,M-Rst Chk,250000,Main Course,Herb-marinated chicken roasted in the oven.
Food,45,Braised Beef Cheeks,M-Bef Chk,380000,Main Course,Slow-braised beef cheeks in red wine reduction.
Food,46,Pork Ribs with BBQ Sauce,M-Prk Rib,310000,Main Course,Fall-off-the-bone ribs with house BBQ sauce.
Food,47,Pan-seared Scallops,M-Sca Pan,350000,Main Course,Jumbo scallops with cauliflower purée.
Food,48,Grilled Lamb Chops,M-Lam Chp,420000,Main Course,Herb-crusted lamb chops with mint sauce.
Food,49,Eggplant Parmigiana,M-Egg Par,180000,Main Course,Baked eggplant slices with tomato and cheese.
Food,50,Seafood Stew (Cioppino),M-Sea Stw,360000,Main Course,Mixed seafood simmered in tomato broth.
Food,51,Margherita Pizza,P-Marg,150000,Pizza,"Classic tomato, mozzarella, and fresh basil."
Food,52,Burrata Parma Margherita,P-Bur Par,290000,Pizza,Margherita topped with whole burrata & parma.
Food,53,4 Cheese Pizza (Quattro Formaggi),P-4 Chz,240000,Pizza,"Mozzarella, gorgonzola, parmesan, camembert."
Food,54,5 Cheese Pizza,P-5 Chz,270000,Pizza,4 Cheese plus house-made ricotta.
Food,55,Teriyaki Chicken Pizza,P-Ter Chk,210000,Pizza,"Teriyaki chicken, seaweed, mayo drizzle."
Food,56,Salmon Sashimi Pizza,P-Sal Sas,260000,Pizza,Cold fresh salmon sashimi on a hot crust.
Food,57,Seafood Spicy Tomato Pizza,P-Sea Spi,280000,Pizza,Mixed seafood with a spicy chili tomato base.
Food,58,Prosciutto Margherita,P-Pro Mar,230000,Pizza,Classic Margherita topped with prosciutto.
Food,59,Mushroom & Truffle Pizza,P-Msh Tru,250000,Pizza,"Earthy mushrooms, mozzarella, truffle oil."
Food,60,Salami & Chorizo Pizza,P-Sal Cho,220000,Pizza,"Spicy chorizo, milano salami, tomato base."
Food,61,Hawaiian Pizza,P-Hawaii,190000,Pizza,"Ham, fresh pineapple, mozzarella."
Food,62,Vegetarian Pizza,P-Veggie,180000,Pizza,"Bell peppers, zucchini, eggplant, mushrooms."
Food,63,Beef Yakiniku Pizza,P-Bef Yak,240000,Pizza,"Japanese BBQ beef, onions, sesame."
Food,64,Smoked Cheese & Bacon Pizza,P-Smk Bac,210000,Pizza,"House-smoked cheese, crispy bacon bits."
Food,65,Anchovy & Olive Pizza,P-Anc Oli,200000,Pizza,"Salty anchovies, black olives, capers."
Food,66,Spicy Nduja Pizza,P-Nduja,230000,Pizza,"Spreadable spicy pork sausage, stracciatella."
Food,67,Pesto & Chicken Pizza,P-Pes Chk,210000,Pizza,"Basil pesto base, grilled chicken, tomatoes."
Food,68,Tuna & Onion Pizza,P-Tun Oni,190000,Pizza,"Canned tuna, sliced red onions, mayo."
Food,69,Garlic & Shrimp Pizza,P-Gar Shr,240000,Pizza,"Garlic butter base, marinated shrimp, parsley."
